"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"　","※キーワード検索機能（検索オプション機能を使わない場合）は、検索するキーワードが「項目名」、「項目の説明」、「事例」及び「不適合事例」のいずれかに含まれているすべての分類項目を表示しますので、産業分類の決定に当たっては、各分類項目の詳細情報までご参照いただき、当該項目の内容についてご確認下さい。また、日本標準産業分類はすべての事業所の活動を網羅したものではないため、キーワード検索を行っても検索結果が表示されないことがあります。この場合は、検索するキーワードを変えるなどして、再度検索して下さい。",""
"A","農業，林業","総　　　説
　この大分類には，耕種農業，畜産農業（養きん，養ほう，養蚕を含む）及び農業に直接関係するサービス業務並びに林業及び林業に直接関係するサービス業務を行う事業所が分類される。
　なお，植木の刈り込みのような園芸サービスを提供する事業所及び昆虫類，へびなどの採捕を行う事業所も本分類に含まれる。
(1) 　耕種農業とは
　　(ｱ)　 水稲，陸稲，麦類，雑穀，豆類，いも類，野菜，果樹，工芸農作物，飼肥料作物，花き，薬用作物，採種用作物，桑の栽培をいう。
　　(ｲ)　 しいたけ，たけのこ，こうぞ，みつまた，はぜ，こりやなぎ，くり，くるみ，つばきなどを栽培し，単に下刈り程度の管理のみでなく施肥（刈敷は施肥とみなさない）を行っている場合は耕種とみなす。
　　(ｳ)　 天然性のしいたけ，たけのこ，わさびなどの採取並びに用材又は薪炭材の生産を主目的とする植物の栽培は耕種としない。
(2) 　畜産農業とは
　　(ｱ)　 乳用牛，肉用牛，馬，鹿，豚，いのぶた，いのしし，めん羊，やぎ，にわとり，あひる，うずら，七面鳥，うさぎ，たぬき，きつね，ミンクなどの飼養，ふ卵，育すうを行うことで，種付け目的のものも含まれる。
モルモット，マウス，ラット，カナリヤ，文鳥などを実験用又は愛がん用に供することを目的として飼育する場合及びいたち，きじなどを森林保護又は種族保護を目的として人工的に増殖，飼育する場合も含まれる。
　　(ｲ)　 蚕の飼育及び蚕種の製造も含まれる。
　　(ｳ)　 競馬などに専ら使用する目的で飼養しているもの及び家畜仲買商が一時的に飼養しているものは含まれない。
　　(ｴ)　 店舗で愛がん用の鳥獣を飼養する場合は含まれない。
(3) 　林業とは
　山林用苗木の育成・植栽，林木の保育・保護，林木からの素材生産，薪及び木炭の製造，樹脂，樹皮，その他の林産物の採集及び野生動物の狩猟などをいう。

　　　事　業　所
　農業又は林業を営んでいる事業所，又は事業主の住居が，分類を適用する単位としての農業又は林業事業所である。
　農家又は林家が農業又は林業以外の経済活動を行っていても，それが同一構内（屋敷内）で行われている限り，原則として，そこに複数の事業所があるとはしない。ただし，専従の常用従業者のいる店舗，工場などがあれば，別にそれらの事業所があるものとする。

　　農業又は林業と他産業との関係
(1) 　農家又は林家で製造活動を行っている場合
　　(ｱ) 　主として他から購入した原材料を使用して製造，加工を行っている場合は農業又は林業の活動とはしない。
　　(ｲ) 　主として自家栽培した原材料を使用して製造，加工を行っている場合は農業又は林業の活動とする。ただし，同一構内に工場，作業所とみられるものがあり，その製造活動に専従の常用従業者がいるときは農業又は林業の活動とはしない。
(2) 　農業協同組合の事業所で信用事業又は共済事業と併せて，他の大分類にわたる事業を行っているものは大分類Ｑ－複合サービス事業［8711］に分類される。農業協同組合の事業所で，単独で工場，店舗等を構えて単一の事業を行っているものは，その行う事業によって製造業，小売業等それぞれの産業に分類される。
　　なお，複数の大分類にわたる事業を行う農業協同組合の事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
(3) 　森林組合の事業所で信用事業又は共済事業と併せて，他の大分類にわたる事業を行っているものは大分類Ｑ－複合サービス事業［8714］に分類される。森林組合の事業所で，単独で工場，店舗等を構えて単一の事業を行っているものは，その行う事業によって製造業，小売業等それぞれの産業に分類される。
　　　なお，複数の大分類にわたる事業を行う森林組合の事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"01","農業","総　　　説
　この中分類には，耕種農業，畜産農業（養きん，養ほう，養蚕を含む）及び農業に直接関係するサービス業務を行う事業所が分類される。
　請負で築庭，庭園樹の植樹，庭園・花壇の手入れなどを行う事業所も本分類に含まれる。
"
"010","管理，補助的経済活動を行う事業所（01農業）",""
"0100","主として管理事務を行う本社等","主として農業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。
"
"0109","その他の管理，補助的経済活動を行う事業所","主として農業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"011","耕種農業",""
"0111","米作農業","主として米（水稲，陸稲）を栽培し，出荷する事業所をいう。
"
"0112","米作以外の穀作農業","主として米以外の穀物を栽培し，出荷する事業所をいう。
穀物とは，米（水稲，陸稲），麦類，雑穀（あわ，ひえ，きび，そば，とうもろこし，もろこし），豆類（大豆，そらまめ，いんげんまめ，小豆，ささげ，らっかせい，えんどう，りょくとう）などの乾燥子実をいう。
"
"0113","野菜作農業（きのこ類の栽培を含む）","主として野菜を栽培し，出荷する事業所をいう。
野菜とは，果菜類（えだまめ，さやえんどう，とうもろこし等の未成熟子実を含む），葉茎菜類（はくさい，キャベツ，ねぎ等），根菜類（だいこん，にんじん，さといも等）及び栽培されたきのこ類をいう。
"
"0114","果樹作農業","主として果樹を栽培し，出荷する事業所をいう。
果樹とは，みかん，りんご，ぶどう，かき，なし，もも，くり，くるみなどの木本性植物をいう。
"
"0115","花き作農業","主として花きを栽培し，出荷する事業所をいう。
花きとは，切り花，切り葉，切り枝，球根，鉢物，花き苗，芝，植木など美観の創出ないし維持又は緑化などに供する目的で栽培されている植物をいう。
"
"0116","工芸農作物農業","主として工芸農作物を栽培し，出荷する事業所をいう。
工芸農作物とは，なたね，葉たばこ，生茶，さとうきび，てんさい，こんにゃくいも，い，こうぞ，みつまた，ホップ，薬用にんじん，ハーブなど，油脂，甘味料，繊維，薬などの原料に供する目的で栽培されている植物をいう。
"
"0117","ばれいしょ・かんしょ作農業","主としてばれいしょ又はかんしょを栽培し，出荷する事業所をいう。
"
"0119","その他の耕種農業","主として飼肥料作物，採種用作物など他に分類されない作物を栽培し，出荷する事業所をいう。
飼肥料作物とは，飼料や肥料とする目的で栽培されている牧草等をいい，採種用作物とは，種苗（林業用の種苗を除く）を得る目的で栽培されている植物をいう。
"
"012","畜産農業",""
"0121","酪農業","主として生乳を生産し，出荷する事業所をいう。
"
"0122","肉用牛生産業","主として肉用牛を飼養する事業所をいう。
肉用牛とは，肉用を主目的に飼養している牛をいう。この場合，牛の品種は肉専用種に限らず肉用目的に飼養している乳用種を含む。
"
"0123","養豚業","主として豚を飼養する事業所をいう。
"
"0124","養鶏業","主として鶏卵の生産及び食鶏の飼養を行う事業所をいう。
"
"0125","畜産類似業","主として実験用・愛がん用動物の飼育，農作物・森林の保護及び種族保護を目的とする動物の飼育を行う事業所をいう。
かぶと虫，すず虫などの昆虫類（みつばち，蚕を除く）の飼育及びへびなどの飼育を行う事業所も本分類に含まれる。
"
"0126","養蚕農業","主として蚕の飼育及び蚕種の製造を行う事業所をいう。
"
"0129","その他の畜産農業","主としてその他の畜産物を飼育する事業所をいう。
その他の畜産物とは，馬，めん羊，やぎ，うさぎ（実験用，愛がん用を除く），鶏以外の家きん（うずら，あひる，七面鳥など），毛皮獣などをいう。
"
"013","農業サービス業（園芸サービス業を除く）",""
"0131","穀作サービス業","穀作農業に係る育苗，耕起，植付，防除，刈取，脱穀，調製など，栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。
"
"0132","野菜作･果樹作サービス業","野菜作及び果樹作の栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。
"
"0133","穀作，野菜作･果樹作以外の耕種サービス業","穀作，野菜作，果樹作以外の作物の栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。
"
"0134","畜産サービス業（獣医業を除く）","主として請負で種付け，人工授精又は受精卵移植，育成，種卵採取，ふ卵，育すう，家畜の貸付・飼養管理などを行う事業所及びこれらに必要な施設を供与する事業所をいう。
稚蚕飼育など，生産から出荷までのいずれか１種類以上の作業を請負で行う事業所も本分類に含まれる。
"
"014","園芸サービス業",""
"0141","園芸サービス業","主として請負で築庭，庭園樹の植樹，庭園・花壇の手入れなどを行う事業所をいう。
ただし，公衆道路，運動場などの土木事業を伴う公園造成を主として請負う事業所は大分類Ｄ－建設業［0622］に分類される。
"
"02","林業","総　　　説
　この中分類には，山林用苗木の育成・植栽，林木の保育・保護，林木からの素材生産，薪及び木炭の製造，樹脂，樹皮，その他の林産物の採集及び林業に直接関係するサービス業務並びに野生動物の狩猟などを行う事業所が分類される。
　昆虫類，へびなどの採捕を行う事業所も本分類に含まれる。
"
"020","管理，補助的経済活動を行う事業所（02林業）",""
"0200","主として管理事務を行う本社等","主として林業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。
"
"0209","その他の管理，補助的経済活動を行う事業所","主として林業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"021","育林業",""
"0211","育林業","将来直接利用するために保育されている山林で，その山林に対し，林木の造林・保育・保護が主要作業である事業所をいう。
"
"022","素材生産業",""
"0221","素材生産業","立木を購入し，伐木して主として素材のまま販売する事業所をいう。
"
"023","特用林産物生産業（きのこ類の栽培を除く）","森林原野において産出される産物のうち，一般用材を除く林産物を生産する事業所をいう。
"
"0231","製薪炭業","直営による薪の製造又は木炭の製造を主として行う事業所をいう。
ただし，他人に雇われて木炭を製造する焼子は事業所としない。
"
"0239","その他の特用林産物生産業（きのこ類の栽培を除く）","特用林産物のうち，薪及び炭を除く林産物を生産する事業所をいう。
"
"024","林業サービス業",""
"0241","育林サービス業","主として請負によって造林，保育，保護を行う事業所をいう。
"
"0242","素材生産サービス業","主として請負によって伐木又は伐木と運材を兼ね行う事業所をいう。
"
"0243","山林種苗生産サービス業","主として請負によって山林用苗木の育成のための事業を行う事業所をいう。
"
"0249","その他の林業サービス業","他に分類されない主として請負で炭焼，山番などの林業に附帯するサービスを提供する事業所をいう。
"
"029","その他の林業",""
"0299","その他の林業","他に分類されない林業，狩猟業を営む事業所をいう。
本分類には毛皮用，食用のための鳥獣の捕獲，害鳥獣の捕獲又は昆虫類，へびなどの採捕並びに山林用種苗業も含まれる。
"
"B","漁業","総　　　説
　この大分類には，海面又は内水面において自然繁殖している水産動植物を採捕する事業所，海面又は内水面において人工的施設を施し，水産動植物の養殖を行う事業所及びこれらに直接関係するサービス業務を行う事業所が分類される。
　漁業における事業所の漁業活動は，漁場の位置，漁法，漁獲物の種類によって分類される。また，水産養殖業における事業所の漁業活動は，養殖を行う場所，養殖の方法，養殖の対象によって分類される。

　　　事　業　所
　漁業を営んでいる事業所又は事業主の住居が，分類を適用する単位としての漁業事業所である。
　漁家が漁業以外の経済活動を行っていても，それが同一構内（屋敷内）で行われている限り，原則として，そこに複数の事業所があるとはしない。ただし，専従の常用従業者のいる店舗，工場などがあれば，別にそれらの事業所があるものとする。

　　　漁業，水産養殖業と他産業との関係
(1)　 漁家で製造活動を行っている場合
　　(ｱ) 　主として他から購入した原材料を使用して製造，加工を行っている場合は漁業活動とはしない。
　　(ｲ)　 主として自家取得した原材料を使用して製造，加工を行っている場合は漁業活動とする。ただし，同一構内に工場，作業所とみられるものがあり，その製造活動に専従の常用従業者がいるときは漁業活動とはしない。
(2) 　漁船内で行う製造，加工は漁業活動の一部とみなして本分類に含まれる。
(3) 　漁業協同組合の事業所で信用事業又は共済事業と併せて，他の大分類にわたる事業を行っているものは大分類Ｑ－複合サービス事業［8712］に分類される。漁業協同組合の事業所で，単独で工場，店舗等を構えて単一の事業を行っているものは，その行う事業によって製造業，小売業等それぞれの産業に分類される。
　　なお，複数の大分類にわたる事業を行う漁業協同組合の事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
(4) 　冷蔵倉庫業は大分類Ｈ－運輸業，郵便業［4721］に分類される。
"
"03","漁業（水産養殖業を除く）","総　　　説
　この中分類には，海面又は内水面において自然繁殖している（まき付，放苗，投石，耕うんなどいわゆる増殖によって繁殖しているものを含む）水産動植物を採捕する事業所が分類される。
"
"030","管理，補助的経済活動を行う事業所（03漁業）",""
"0300","主として管理事務を行う本社等","主として漁業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。
"
"0309","その他の管理，補助的経済活動を行う事業所","主として漁業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"031","海面漁業",""
"0311","底びき網漁業","底びき網漁具をえい航して行う漁業の事業所をいう。
"
"0312","まき網漁業","まき網漁具を使用して行う漁業の事業所をいう。
"
"0313","刺網漁業","刺網漁具を使用して行う漁業の事業所をいう。
"
"0314","釣・はえ縄漁業","釣漁具あるいははえなわ漁具を使用して行う漁業の事業所をいう。
"
"0315","定置網漁業","定置網漁具を使用して行う漁業の事業所をいう。
"
"0316","地びき網・船びき網漁業","地びき網漁具あるいは船びき網漁具を使用して行う漁業の事業所をいう。
"
"0317","採貝・採藻業","貝けた漁業，潜水器漁業によるものを除き，各種の方法で貝・藻類を採取する事業所をいう。
"
"0318","捕鯨業","主として鯨類を捕獲する事業所をいう。
"
"0319","その他の海面漁業","海面において他に分類されない水産動植物を採捕する事業所をいう。
"
"032","内水面漁業",""
